BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
1,2,28,796,1,5,0.5,6,0.2,1,NaN,3,0,0,NaN,-1,NaN,-1,NaN,-1,NaN,0,NaN
1,2,29,796,1,51,0.84,56,0.781818181818182,28,0.481481481481481,522,0.514395393474088,423,0.578199052132701,268,0.539325842696629,449,0.522321428571429,-1,NaN,0,NaN
1,2,30,796,1,48,0.446808510638298,0,NaN,9,0.5,538,0.504655493482309,658,0.245053272450533,235,0.341880341880342,954,0.38090241343127,0,NaN,0,NaN
1,2,31,796,1,818,0.341493268053856,88,0.448275862068966,47,0.543478260869565,1329,0.434487951807229,1617,0.315594059405941,1058,0.41438032166509,-1,NaN,0,NaN,0,NaN
1,2,32,796,1,-1,NaN,-1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,-1,NaN
1,2,33,796,1,216,0.590697674418605,55,0.481481481481481,17,0.625,392,0.562659846547315,470,0.518123667377399,280,0.584229390681004,355,0.437853107344633,28,0.518518518518518,716,0.541258741258741
1,2,34,796,1,163,0.549382716049383,-1,NaN,1,NaN,0,NaN,-1,NaN,-1,NaN,0,NaN,0,NaN,-1,NaN
1,2,35,796,1,132,0.511450381679389,187,0.596774193548387,35,0.5,920,0.471164309031556,579,0.52076124567474,510,0.56188605108055,712,0.535864978902954,25,0.666666666666667,580,0.404145077720207
1,2,36,796,1,1,NaN,2,0,14,0.384615384615385,0,NaN,-1,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN
1,2,37,45,0,176,0.514285714285714,80,0.481012658227848,37,0.416666666666667,872,0.692307692307692,655,0.579510703363914,722,0.407766990291262,776,0.490322580645161,-1,NaN,-1,NaN
1,2,38,45,0,220,0.388127853881279,145,0.527777777777778,37,0.611111111111111,752,0.464713715046605,690,0.563134978229318,844,0.65005931198102,880,0.714448236632537,44,0.674418604651163,801,0.51
1,2,39,45,0,30,0.517241379310345,140,0.41726618705036,33,0.4375,847,0.491725768321513,845,0.546208530805687,631,0.395238095238095,-1,NaN,-1,NaN,0,NaN
1,2,40,45,0,689,0.268895348837209,66,0.461538461538462,38,0.540540540540541,670,0.327354260089686,574,0.369982547993019,410,0.537897310513447,573,0.494755244755245,-1,NaN,0,NaN
1,2,41,45,0,101,0.39,119,0.644067796610169,38,0.486486486486487,733,0.506830601092896,676,0.531851851851852,629,0.684713375796178,556,0.614414414414414,-1,NaN,0,NaN
1,2,42,45,0,142,0.276595744680851,129,0.421875,36,0.457142857142857,407,0.455665024630542,-1,NaN,0,NaN,-1,NaN,-1,NaN,0,NaN
1,2,43,45,1,24,0.173913043478261,71,0.571428571428571,38,0.378378378378378,544,0.366482504604052,814,0.635916359163592,632,0.503961965134707,816,0.701840490797546,-1,NaN,0,NaN
1,2,44,45,1,9,0.875,112,0.495495495495495,33,0.28125,665,0.512048192771084,1031,0.716504854368932,853,0.686619718309859,1051,0.616190476190476,-1,NaN,-1,NaN
1,2,45,45,1,37,0.611111111111111,93,0.619565217391304,24,0.391304347826087,651,0.409230769230769,-1,NaN,2,1,0,NaN,-1,NaN,-1,NaN
1,2,46,45,1,29,0.464285714285714,143,0.52112676056338,22,0.571428571428571,654,0.578866768759571,914,0.766703176341731,737,0.563858695652174,797,0.78643216080402,41,0.5,674,0.604754829123328
1,2,47,45,1,7,0,108,0.373831775700935,23,0.590909090909091,465,0.543103448275862,652,0.612903225806452,528,0.81404174573055,-1,NaN,-1,NaN,-1,NaN
1,2,48,45,1,187,0.440860215053763,53,0.5,34,0.424242424242424,662,0.379727685325265,532,0.546139359698682,648,0.474497681607419,741,0.440540540540541,0,NaN,-1,NaN
1,2,49,105,0,-1,NaN,-1,NaN,0,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
